Ranking,Title,URL,Publication Date,Genre,Average Rating,Number of Ratings,Number of Pages
141,American Gods: Shadows #1,https://www.goodreads.com/book/show/34564139-american-gods,"Published March 15, 2017",Fantasy,4.03,908 ratings,"37 pages, Kindle Edition
Published March 15, 2017"
142,The Problem of Susan and Other Stories,https://www.goodreads.com/book/show/36913852-the-problem-of-susan-and-other-stories,"First published January 23, 2019",Fantasy,3.50,"1,040 ratings","77 pages, Hardcover
First published January 23, 2019"
143,Two Plays for Voices,https://www.goodreads.com/book/show/117693.Two_Plays_for_Voices,"First published September 1, 2002",Fantasy,4.17,812 ratings,"2 pages, Audio CD
First published September 1, 2002"
144,The Sandman #9: Tales in the Sand,https://www.goodreads.com/book/show/25683657-the-sandman-9,"First published September 1, 1989",Comics,4.29,777 ratings,"26 pages, ebook
First published September 1, 1989"
145,"Hearts, Keys, and Puppetry",https://www.goodreads.com/book/show/10364053-hearts-keys-and-puppetry,"First published February 1, 2010",Fantasy,3.18,"1,034 ratings","2 pages, Audible Audio
First published February 1, 2010"
146,The Sandman Universe #1,https://www.goodreads.com/book/show/38896055-the-sandman-universe-1,"First published August 8, 2018",Comics,3.91,828 ratings,"48 pages, Kindle Edition
First published August 8, 2018"
147,"The Sandman: The Deluxe Edition, Book Two",https://www.goodreads.com/book/show/56532947-the-sandman,"First published March 16, 2021",Graphic Novels,4.46,726 ratings,"456 pages, Hardcover
First published March 16, 2021"
148,The Best American Comics 2010,https://www.goodreads.com/book/show/7915861-the-best-american-comics-2010,"First published October 5, 2010",Comics,3.71,843 ratings,"352 pages, Hardcover
First published October 5, 2010"
149,We Can Get Them For You Wholesale,https://www.goodreads.com/book/show/29335205-we-can-get-them-for-you-wholesale,"First published January 1, 1984",Short Stories,4.02,739 ratings,"10 pages, ebook
First published January 1, 1984"
150,Dc Universe by Neil Gaiman,https://www.goodreads.com/book/show/28109901-dc-universe-by-neil-gaiman,"First published July 26, 2016",Comics,3.88,761 ratings,"208 pages, Hardcover
First published July 26, 2016"
151,The Sandman #11: Moving In (The Doll's House Part 2),https://www.goodreads.com/book/show/22445288-the-sandman-11,"First published December 1, 1989",Comics,4.29,686 ratings,"26 pages, Mass Market Paperback
First published December 1, 1989"
152,The Sandman #13: Men of Good Fortune (The Doll's House Part 4),https://www.goodreads.com/book/show/18897238-the-sandman-13,"Published January 31, 1990",Comics,4.48,637 ratings,"26 pages, Kindle Edition
Published January 31, 1990"
153,The Sandman #10: The Doll’s House (The Doll's House Part 1),https://www.goodreads.com/book/show/18897264-the-sandman-10,"First published November 1, 1989",Comics,4.21,676 ratings,"24 pages, Kindle Edition
First published November 1, 1989"
154,"Norse Mythology, Vol. 2",https://www.goodreads.com/book/show/58896476-norse-mythology-vol-2,"Published April 5, 2022",Graphic Novels,4.06,689 ratings,"152 pages, Hardcover
Published April 5, 2022"
155,The Sandman #12: Playing House (The Doll's House Part 3),https://www.goodreads.com/book/show/18897237-the-sandman-12,"First published January 1, 1988",Comics,4.28,649 ratings,"25 pages, Kindle Edition
First published January 1, 1988"
156,The Sandman: Overture #4,https://www.goodreads.com/book/show/23886139-the-sandman,"First published February 1, 2015",Comics,4.46,622 ratings,"32 pages, Kindle Edition
First published February 1, 2015"
157,Free Country: A Tale of the Children's Crusade,https://www.goodreads.com/book/show/17671920-free-country,"First published September 22, 2015",Graphic Novels,3.47,797 ratings,"416 pages, Hardcover
First published September 22, 2015"
158,"Coisas Frágeis (Coisas Frágeis, #1)",https://www.goodreads.com/book/show/6616080-coisas-fr-geis,"First published September 25, 2006",Fantasy,3.88,705 ratings,"205 pages, Paperback
First published September 25, 2006"
159,The Man Who Forgot Ray Bradbury,https://www.goodreads.com/book/show/15713378-the-man-who-forgot-ray-bradbury,"First published June 7, 2012",Short Stories,4.32,624 ratings,"10 pages, Audiobook
First published June 7, 2012"
160,The Sandman #18: A Dream of a Thousand Cats,https://www.goodreads.com/book/show/18897249-the-sandman-18,"First published January 1, 1994",Comics,4.27,626 ratings,"25 pages, Kindle Edition
First published January 1, 1994"
161,The Sandman #14: Collectors (The Doll's House Part 5),https://www.goodreads.com/book/show/18897242-the-sandman-14,"Published February 28, 1990",Comics,4.38,580 ratings,"40 pages, Kindle Edition
Published February 28, 1990"
162,The Sandman #17: Calliope,https://www.goodreads.com/book/show/20325046-the-sandman-17,Not Found,Comics,4.34,578 ratings,24 pages
163,Stardust - BBC Dramatisation,https://www.goodreads.com/book/show/33409773-stardust---bbc-dramatisation,"Published December 17, 2016",Fantasy,4.25,581 ratings,"2 pages, Audiobook
Published December 17, 2016"
164,"The Sandman Omnibus, Vol. 3",https://www.goodreads.com/book/show/40996616-the-sandman-omnibus-vol-3,"First published April 2, 2019",Comics,4.58,528 ratings,"919 pages, Hardcover
First published April 2, 2019"
165,The Sandman #16: Lost Hearts (The Doll's House Part 7),https://www.goodreads.com/book/show/18897247-the-sandman-16,"Published May 31, 1990",Comics,4.34,551 ratings,"26 pages, Kindle Edition
Published May 31, 1990"
166,The Sandman #15: Into the Night (The Doll's House Part 6),https://www.goodreads.com/book/show/18897244-the-sandman-15,"Published September 29, 2010",Comics,4.20,555 ratings,"22 pages, Kindle Edition
Published September 29, 2010"
167,The Sandman: Overture #5,https://www.goodreads.com/book/show/25608189-the-sandman,"First published July 1, 2015",Comics,4.42,527 ratings,"18 pages, Kindle Edition
First published July 1, 2015"
168,"The Sandman: The Deluxe Edition, Book Three",https://www.goodreads.com/book/show/56707879-the-sandman,"First published August 3, 2021",Graphic Novels,4.45,520 ratings,"544 pages, Hardcover
First published August 3, 2021"
169,The Sandman #19: A Midsummer Night's Dream,https://www.goodreads.com/book/show/26228013-the-sandman-19,"Published September 1, 1990",Comics,3.91,581 ratings,"27 pages, ebook
Published September 1, 1990"
170,The Sandman #31: Three Septembers and a January,https://www.goodreads.com/book/show/17411973-the-sandman-31,"First published January 1, 1991",Comics,4.35,509 ratings,"26 pages, Comic
First published January 1, 1991"
171,The Sandman #20: Façade,https://www.goodreads.com/book/show/18897245-the-sandman-20,"First published October 1, 1990",Comics,4.29,516 ratings,"26 pages, Kindle Edition
First published October 1, 1990"
172,The Neil Gaiman Library Volume 1,https://www.goodreads.com/book/show/50201220-the-neil-gaiman-library-volume-1,"First published June 9, 2020",Comics,4.06,544 ratings,"312 pages, Hardcover
First published June 9, 2020"
173,A Death Gallery,https://www.goodreads.com/book/show/6602286-a-death-gallery,"First published November 1, 1994",Comics,4.36,477 ratings,"34 pages, Comic Book
First published November 1, 1994"
174,The Sandman: Overture #6,https://www.goodreads.com/book/show/26839372-the-sandman,"First published November 1, 2015",Comics,4.55,454 ratings,"61 pages, Kindle Edition
First published November 1, 2015"
175,The Sandman #29: Thermidor,https://www.goodreads.com/book/show/17411966-the-sandman-29,"First published January 1, 1991",Comics,3.82,532 ratings,"26 pages
First published January 1, 1991"
176,Batman Black & White: A Black and White World,https://www.goodreads.com/book/show/51983357-batman-black-white,"First published June 23, 2010",Comics,3.71,530 ratings,"11 pages, Kindle Edition
First published June 23, 2010"
177,The Sandman #30: August,https://www.goodreads.com/book/show/17411969-the-sandman-30,"First published January 1, 1991",Comics,4.00,484 ratings,"26 pages
First published January 1, 1991"
178,Spawn: Angela's Hunt,https://www.goodreads.com/book/show/92059.Spawn,"Published August 1, 1995",Comics,3.68,522 ratings,"100 pages, Paperback
Published August 1, 1995"
179,The Sandman #23: Season of Mists Chapter 2,https://www.goodreads.com/book/show/18897234-the-sandman-23,"First published March 1, 1991",Comics,4.51,412 ratings,"25 pages, Kindle Edition
First published March 1, 1991"
180,The Sandman: Gallery of Dreams,https://www.goodreads.com/book/show/6602276-the-sandman,"First published January 1, 1994",Graphic Novels,4.46,414 ratings,"34 pages, Paperback
First published January 1, 1994"
181,Death: The High Cost of Living #1,https://www.goodreads.com/book/show/18956270-death,"Published March 3, 1993",Comics,4.40,414 ratings,"32 pages, Kindle Edition
Published March 3, 1993"
182,The Sandman #50: Ramadan,https://www.goodreads.com/book/show/19268899-the-sandman-50,"First published January 1, 1993",Comics,4.30,424 ratings,"40 pages, Kindle Edition
First published January 1, 1993"
183,Sunbird,https://www.goodreads.com/book/show/6698557-sunbird,"First published September 9, 2005",Fantasy,4.21,429 ratings,"30 pages, Chapbook
First published September 9, 2005"
184,The Sandman #21: Season of Mists - A Prologue,https://www.goodreads.com/book/show/18897236-the-sandman-21,"Published October 31, 1990",Comics,4.42,408 ratings,"26 pages, Kindle Edition
Published October 31, 1990"
185,"Sandman Absolute 1: Sueño (Sandman Edición Deluxe, #1)",https://www.goodreads.com/book/show/8161898-sandman-absolute-1,"Published May 1, 2010",Comics,4.58,392 ratings,"496 pages, Hardcover
Published May 1, 2010"
186,The Sandman #22: Season of Mists Chapter 1,https://www.goodreads.com/book/show/18897235-the-sandman-22,"First published January 1, 1991",Comics,4.35,410 ratings,"26 pages, Kindle Edition
First published January 1, 1991"
187,"The Sandman: The Deluxe Edition, Book Four",https://www.goodreads.com/book/show/58725910-the-sandman,"First published November 23, 2021",Graphic Novels,4.45,373 ratings,"536 pages, Hardcover
First published November 23, 2021"
188,American Gods: Shadows #2,https://www.goodreads.com/book/show/34761133-american-gods,"Published April 12, 2017",Graphic Novels,4.12,394 ratings,"30 pages, Kindle Edition
Published April 12, 2017"
189,The Sandman #24: Season of Mists Chapter 3,https://www.goodreads.com/book/show/19088857-the-sandman-24,"First published March 1, 1991",Comics,4.30,377 ratings,"26 pages, Kindle Edition
First published March 1, 1991"
190,The Sandman #25: Season of Mists Chapter 4,https://www.goodreads.com/book/show/19457369-the-sandman-25,"First published April 1, 1991",Comics,4.26,380 ratings,"26 pages, Kindle Edition
First published April 1, 1991"
191,Down to a Sunless Sea,https://www.goodreads.com/book/show/17669274-down-to-a-sunless-sea,"First published March 22, 2013",Short Stories,3.73,431 ratings,"5 pages, Unbound
First published March 22, 2013"
192,"The Year's Best Dark Fantasy & Horror, 2011 Edition",https://www.goodreads.com/book/show/10907592-the-year-s-best-dark-fantasy-horror-2011-edition,"First published August 23, 2011",Horror,3.82,418 ratings,"544 pages, Paperback
First published August 23, 2011"
193,The Sandman #26: Season of Mists Chapter 5,https://www.goodreads.com/book/show/19495472-the-sandman-26,"Published April 30, 1991",Comics,4.33,363 ratings,"26 pages, Kindle Edition
Published April 30, 1991"
194,The Sandman #27: Season of Mists Chapter 6,https://www.goodreads.com/book/show/19496186-the-sandman-27,"Published May 31, 1991",Comics,4.34,359 ratings,"25 pages, Kindle Edition
Published May 31, 1991"
195,Norse Mythology: A BBC Radio 4 full-cast dramatisation,https://www.goodreads.com/book/show/43159385-norse-mythology,"Published March 7, 2019",Audiobook,4.32,355 ratings,"Audio CD
Published March 7, 2019"
196,The Sandman #28: Season of Mists Epilogue,https://www.goodreads.com/book/show/19496339-the-sandman-28,"Published June 30, 1991",Comics,4.32,351 ratings,"25 pages, Kindle Edition
Published June 30, 1991"
197,The Price,https://www.goodreads.com/book/show/17340528-the-price,"First published January 1, 1997",Short Stories,4.09,369 ratings,"20 pages, audio/video
First published January 1, 1997"
198,"The Annotated Sandman, Vol. 2",https://www.goodreads.com/book/show/13536523-the-annotated-sandman-vol-2,"First published October 1, 2012",Graphic Novels,4.52,333 ratings,"519 pages, Hardcover
First published October 1, 2012"
199,Sandman Absolute 2: Deseo,https://www.goodreads.com/book/show/9720317-sandman-absolute-2,"First published January 1, 2005",Comics,4.60,327 ratings,"496 pages, Hardcover
First published January 1, 2005"
200,"Norse Mythology, Vol. 3",https://www.goodreads.com/book/show/61487971-norse-mythology-vol-3,"Published February 28, 2023",Graphic Novels,4.16,359 ratings,"152 pages, Hardcover
Published February 28, 2023"
201,Now We Are Sick,https://www.goodreads.com/book/show/47721.Now_We_Are_Sick,"First published January 1, 1991",Poetry,3.69,403 ratings,"108 pages, Paperback
First published January 1, 1991"
202,October in the Chair,https://www.goodreads.com/book/show/23692598-october-in-the-chair,"First published December 1, 2002",Fantasy,4.13,353 ratings,"50 pages
First published December 1, 2002"
203,"Coisas frágeis 2 (Coisas frágeis, #2)",https://www.goodreads.com/book/show/9711963-coisas-fr-geis-2,"First published September 25, 2006",Fiction,3.80,384 ratings,"166 pages, Paperback
First published September 25, 2006"
204,Bitter Grounds,https://www.goodreads.com/book/show/13357895-bitter-grounds,"First published April 1, 2003",Short Stories,3.39,422 ratings,"17 pages, ebook
First published April 1, 2003"
205,The Case of the Four and Twenty Blackbirds,https://www.goodreads.com/book/show/13563554-the-case-of-the-four-and-twenty-blackbirds,"First published January 1, 1984",Fantasy,3.57,399 ratings,"16 pages, ebook
First published January 1, 1984"
206,The American Gods Quartet,https://www.goodreads.com/book/show/48820873-the-american-gods-quartet,"Published November 21, 2019",Fantasy,4.36,311 ratings,"674 pages, Kindle Edition
Published November 21, 2019"
207,The Day The Saucers Came,https://www.goodreads.com/book/show/13392178-the-day-the-saucers-came,"First published March 2, 2009",Poetry,4.17,325 ratings,"3 pages, ebook
First published March 2, 2009"
208,Neil Gaiman's How the Marquis Got His Coat Back,https://www.goodreads.com/book/show/29752905-neil-gaiman-s-how-the-marquis-got-his-coat-back,"Published November 3, 2016",Fantasy,4.19,315 ratings,"1 pages, Audio CD
Published November 3, 2016"
209,Adventures in the Dream Trade,https://www.goodreads.com/book/show/597644.Adventures_in_the_Dream_Trade,"First published January 1, 2002",Fantasy,3.63,353 ratings,"286 pages, Hardcover
First published January 1, 2002"
210,Warning: Contains Language,https://www.goodreads.com/book/show/104603.Warning,"First published July 1, 1995",Fantasy,4.14,308 ratings,"2 pages, Audio CD
First published July 1, 1995"
211,The Return of the Thin White Duke,https://www.goodreads.com/book/show/28514417-the-return-of-the-thin-white-duke,"First published February 3, 2015",Fantasy,3.75,341 ratings,"14 pages, ebook
First published February 3, 2015"
212,Sandman: Muerte,https://www.goodreads.com/book/show/28271809-sandman,"Published November 28, 2015",Comics,4.20,302 ratings,"216 pages, Hardcover
Published November 28, 2015"
213,A Little Gold Book of Ghastly Stuff,https://www.goodreads.com/book/show/13119649-a-little-gold-book-of-ghastly-stuff,"First published January 1, 2011",Fantasy,3.58,347 ratings,"158 pages, Hardcover
First published January 1, 2011"
214,Sandman Absolute 3: Delirio,https://www.goodreads.com/book/show/9761169-sandman-absolute-3,"First published July 27, 2012",Comics,4.51,274 ratings,"408 pages, Hardcover
First published July 27, 2012"
215,Sandman Box Set (14 books),https://www.goodreads.com/book/show/51996742-sandman-box-set,"Published October 6, 2020",Fantasy,4.72,262 ratings,"3000 pages, Paperback
Published October 6, 2020"
216,The Sandman #38: The Hunt,https://www.goodreads.com/book/show/20235117-the-sandman-38,"First published June 1, 1992",Comics,4.10,300 ratings,"26 pages, Kindle Edition
First published June 1, 1992"
217,The Sandman #32: Slaughter on Fifth Avenue,https://www.goodreads.com/book/show/19522519-the-sandman-32,"Published October 31, 1991",Comics,4.17,291 ratings,"27 pages, Kindle Edition
Published October 31, 1991"
218,The Sandman #34: Bad Moon Rising,https://www.goodreads.com/book/show/19750957-the-sandman-34,"Published January 31, 1992",Comics,4.30,281 ratings,"26 pages, Kindle Edition
Published January 31, 1992"
219,A Walking Tour of the Shambles,https://www.goodreads.com/book/show/92060.A_Walking_Tour_of_the_Shambles,"First published April 15, 2002",Fantasy,3.73,323 ratings,"57 pages, Paperback
First published April 15, 2002"
220,The Sandman #33: Lullabies of Broadway,https://www.goodreads.com/book/show/21523211-the-sandman-33,"First published December 1, 1991",Comics,4.24,284 ratings,"26 pages, Paperback
First published December 1, 1991"
221,The Sandman #40: The Parliament of Rooks,https://www.goodreads.com/book/show/19841046-the-sandman-40,"Published July 31, 1992",Comics,4.36,274 ratings,"25 pages, Kindle Edition
Published July 31, 1992"
222,"The Sandman: The Deluxe Edition, Book Five",https://www.goodreads.com/book/show/59458020-the-sandman,"First published February 1, 2022",Comics,4.36,269 ratings,"632 pages, Hardcover
First published February 1, 2022"
223,The Sandman #37: I Woke Up and One Of Us Was Crying,https://www.goodreads.com/book/show/19596455-the-sandman-37,"Published April 30, 1992",Comics,4.27,273 ratings,"26 pages, Kindle Edition
Published April 30, 1992"
224,Vertigo: Winter's Edge (Graphic Novel),https://www.goodreads.com/book/show/3342487-vertigo,"First published January 1, 1998",Comics,3.63,319 ratings,"96 pages, Paperback
First published January 1, 1998"
225,The Sandman #36: Over the Sea to Sky,https://www.goodreads.com/book/show/20190730-the-sandman-36,"First published April 1, 1992",Comics,4.21,270 ratings,"40 pages, Kindle Edition
First published April 1, 1992"
226,The Sandman #35: Beginning to See the light,https://www.goodreads.com/book/show/19926809-the-sandman-35,"Published January 31, 1992",Comics,4.10,271 ratings,"26 pages, Kindle Edition
Published January 31, 1992"
227,"The Annotated Sandman, Vol. 3",https://www.goodreads.com/book/show/17137666-the-annotated-sandman-vol-3,"First published October 28, 2014",Graphic Novels,4.44,246 ratings,"520 pages, Hardcover
First published October 28, 2014"
228,American Gods: Shadows #3,https://www.goodreads.com/book/show/35049191-american-gods,"Published May 17, 2017",Fantasy,4.10,266 ratings,"27 pages, Kindle Edition
Published May 17, 2017"
229,Green Lantern/Superman: Legend of the Green Flame,https://www.goodreads.com/book/show/6368048-green-lantern-superman,"First published January 1, 2000",Comics,3.59,302 ratings,"38 pages, Prestige One-Shot
First published January 1, 2000"
230,The Sandman #39: Soft Places,https://www.goodreads.com/book/show/20204085-the-sandman-39,"First published January 1, 1992",Comics,3.81,283 ratings,"25 pages, Kindle Edition
First published January 1, 1992"
231,Babycakes,https://www.goodreads.com/book/show/17285917-babycakes,"First published January 1, 1990",Short Stories,3.81,274 ratings,"6 pages, Paperback
First published January 1, 1990"
232,Neil Gaiman's Likely Stories,https://www.goodreads.com/book/show/30253010-neil-gaiman-s-likely-stories,"Published May 26, 2016",Horror,3.69,278 ratings,"47 pages, Kindle Edition
Published May 26, 2016"
233,"9-11: September 11th 2001, Volume 2",https://www.goodreads.com/book/show/293809.9_11,"First published January 1, 2002",Comics,3.75,271 ratings,"224 pages, Paperback
First published January 1, 2002"
234,The Neil Gaiman Library Volume 2,https://www.goodreads.com/book/show/52815359-the-neil-gaiman-library-volume-2,"First published November 24, 2020",Fantasy,3.98,252 ratings,"240 pages, Hardcover
First published November 24, 2020"
235,The Sandman #41: Brief Lives Part 1,https://www.goodreads.com/book/show/19582956-the-sandman-41,"Published August 31, 1992",Comics,4.25,235 ratings,"26 pages, Kindle Edition
Published August 31, 1992"
236,Absolute Sandman Overture,https://www.goodreads.com/book/show/36985488-absolute-sandman-overture,"First published January 1, 2009",Comics,4.56,219 ratings,"416 pages, Hardcover
First published January 1, 2009"
237,Eternals (2006-2007) #1,https://www.goodreads.com/book/show/25752207-eternals-2006-2007-1,"First published June 21, 2006",Marvel,3.72,267 ratings,"38 pages, Kindle Edition
First published June 21, 2006"
238,The Sandman #42: Brief Lives Part 2,https://www.goodreads.com/book/show/19848914-the-sandman-42,"Published September 30, 1992",Comics,4.31,230 ratings,"26 pages, Kindle Edition
Published September 30, 1992"
239,The Sandman #47: Brief Lives Part 7,https://www.goodreads.com/book/show/21523330-the-sandman-47,"First published March 1, 1993",Comics,4.41,224 ratings,"26 pages, Paperback
First published March 1, 1993"
240,The Case of Death and Honey,https://www.goodreads.com/book/show/21632307-the-case-of-death-and-honey,"First published January 1, 2011",Short Stories,3.85,253 ratings,"16 pages, Unknown Binding
First published January 1, 2011"
241,The Sandman #43: Brief Lives Part 3,https://www.goodreads.com/book/show/19829512-the-sandman-43,"Published October 31, 1992",Comics,4.31,227 ratings,"26 pages, Kindle Edition
Published October 31, 1992"
242,The Sandman #44: Brief Lives Part 4,https://www.goodreads.com/book/show/21523318-the-sandman-44,"First published December 1, 1992",Comics,4.31,225 ratings,"26 pages, Paperback
First published December 1, 1992"
243,Death: The High Cost of Living #2,https://www.goodreads.com/book/show/19015783-death,"Published March 31, 1993",Comics,4.41,219 ratings,"30 pages, Kindle Edition
Published March 31, 1993"
244,The Sandman #48: Brief Lives Part 8,https://www.goodreads.com/book/show/21523351-the-sandman-48,"First published April 1, 1993",Comics,4.48,215 ratings,"26 pages, Paperback
First published April 1, 1993"
245,The Sandman #46: Brief Lives Part 6,https://www.goodreads.com/book/show/20052657-the-sandman-46,"Published January 31, 1993",Comics,4.34,222 ratings,"26 pages, Kindle Edition
Published January 31, 1993"
246,The Sandman: Book Five,https://www.goodreads.com/book/show/61822765-the-sandman,"Published February 14, 2023",Fantasy,4.33,218 ratings,"500 pages, Paperback
Published February 14, 2023"
247,The Sandman #49: Brief Lives Part 9,https://www.goodreads.com/book/show/19810251-the-sandman-49,"Published April 30, 1993",Comics,4.49,210 ratings,"26 pages, Kindle Edition
Published April 30, 1993"
248,"Biblioteca Gaiman - Volume 1 (Biblioteca Gaiman, #1)",https://www.goodreads.com/book/show/58545406-biblioteca-gaiman---volume-1,"First published July 16, 2021",Comics,4.02,233 ratings,"288 pages, Hardcover
First published July 16, 2021"
249,The Sandman #45: Brief Lives Part 5,https://www.goodreads.com/book/show/19789009-the-sandman-45,"Published December 31, 1992",Comics,4.35,214 ratings,"26 pages, Kindle Edition
Published December 31, 1992"
250,Death: The High Cost of Living #3,https://www.goodreads.com/book/show/20220453-death,"Published May 5, 1993",Comics,4.43,208 ratings,"28 pages, Kindle Edition
Published May 5, 1993"
251,Chivalry: A BBC Radio Full-Cast Reading,https://www.goodreads.com/book/show/49983278-chivalry,"Published January 2, 2020",Audiobook,4.13,223 ratings,"1 pages, Audible Audio
Published January 2, 2020"
252,"Selections from Fragile Things, Volume One: 4 Short Fictions and Wonders",https://www.goodreads.com/book/show/6261351-selections-from-fragile-things-volume-one,"First published January 23, 2009",Fantasy,4.04,225 ratings,"67 pages, Kindle Edition
First published January 23, 2009"
253,"1602 Libro Uno (Marvel 1602, 1 de 3)",https://www.goodreads.com/book/show/166582.1602_Libro_Uno,Not Found,Not Found,4.30,210 ratings,Not Found
254,A Fall of Stardust,https://www.goodreads.com/book/show/22251918-a-fall-of-stardust,"First published January 1, 2000",Fantasy,3.44,262 ratings,"14 pages, Paperback
First published January 1, 2000"
255,American Gods: Shadows #4,https://www.goodreads.com/book/show/35296007-american-gods,"Published June 14, 2017",Fantasy,4.21,214 ratings,"29 pages, Kindle Edition
Published June 14, 2017"
256,Sandman Absolute 4: Destrucción,https://www.goodreads.com/book/show/11284051-sandman-absolute-4,"First published January 1, 2010",Comics,4.65,189 ratings,"413 pages, Hardcover
First published January 1, 2010"
257,Speaking in Tongues,https://www.goodreads.com/book/show/594628.Speaking_in_Tongues,"First published January 31, 2004",Fantasy,3.87,223 ratings,"Audio CD
First published January 31, 2004"
258,The Sandman #54: The Golden Boy,https://www.goodreads.com/book/show/19683999-the-sandman-54,"Published September 30, 1993",Comics,4.21,198 ratings,"26 pages, Kindle Edition
Published September 30, 1993"
259,Amazing Fantasy #1000,https://www.goodreads.com/book/show/61802838-amazing-fantasy-1000,"Published August 31, 2022",Comics,4.25,195 ratings,"72 pages, Kindle Edition
Published August 31, 2022"
260,The Sandman #51: A Tale of Two Cities,https://www.goodreads.com/book/show/20114190-the-sandman-51,"Published June 30, 1993",Comics,3.99,201 ratings,"26 pages, Kindle Edition
Published June 30, 1993"
261,Sandman Absolute 7: Muerte,https://www.goodreads.com/book/show/11284097-sandman-absolute-7,"First published January 1, 1995",Comics,4.65,172 ratings,"501 pages, Hardcover
First published January 1, 1995"
262,Beowulf: The Script Book,https://www.goodreads.com/book/show/291858.Beowulf,"First published October 23, 2007",Fantasy,3.60,220 ratings,"264 pages, Paperback
First published October 23, 2007"
263,The Sandman #56: Worlds' End,https://www.goodreads.com/book/show/19975018-the-sandman-56,"Published November 30, 1993",Comics,4.30,184 ratings,"21 pages, Kindle Edition
Published November 30, 1993"
264,Marvel 1602 #2,https://www.goodreads.com/book/show/25759966-marvel-1602-2,"First published December 1, 2003",Comics,4.09,192 ratings,"24 pages, Kindle Edition
First published December 1, 2003"
265,The Complete American Gods,https://www.goodreads.com/book/show/54317250-the-complete-american-gods,"Published September 14, 2021",Graphic Novels,4.39,179 ratings,"712 pages, Hardcover
Published September 14, 2021"
266,The Sandman #53: Hob's Leviathan,https://www.goodreads.com/book/show/19694127-the-sandman-53,"Published August 31, 1993",Comics,4.07,192 ratings,"25 pages, Kindle Edition
Published August 31, 1993"
267,Goliath,https://www.goodreads.com/book/show/20874646-goliath,"First published January 1, 1998",Short Stories,3.88,201 ratings,"6 pages, ebook
First published January 1, 1998"
268,American Gods: Shadows #5,https://www.goodreads.com/book/show/35608597-american-gods,"Published July 12, 2017",Graphic Novels,4.21,185 ratings,"29 pages, Kindle Edition
Published July 12, 2017"
269,"Sandman: Prelúdio, Volume 01 (Sandman: Prelúdio, #1)",https://www.goodreads.com/book/show/26983504-sandman,"First published January 1, 2013",Comics,4.32,177 ratings,"62 pages, Hardcover
First published January 1, 2013"
270,The Sandman #52: Cluracan's Tale,https://www.goodreads.com/book/show/19817328-the-sandman-52,"Published July 31, 1993",Comics,3.95,193 ratings,"27 pages, Kindle Edition
Published July 31, 1993"
271,Miracleman: The Silver Age,https://www.goodreads.com/book/show/63187184-miracleman,"Published May 7, 2024",Comics,3.90,194 ratings,"192 pages, Paperback
Published May 7, 2024"
272,The Sandman #55: Cerements,https://www.goodreads.com/book/show/20236166-the-sandman-55,"Published October 31, 1993",Comics,4.15,181 ratings,"26 pages, Kindle Edition
Published October 31, 1993"
273,The Sandman #75: The Tempest,https://www.goodreads.com/book/show/20127445-the-sandman-75,"Published January 31, 1996",Comics,4.01,186 ratings,"40 pages, Kindle Edition
Published January 31, 1996"
274,Sandman Absolute 5: Desesperación,https://www.goodreads.com/book/show/11284081-sandman-absolute-5,"Published January 1, 2011",Comics,4.62,159 ratings,"393 pages, Hardcover
Published January 1, 2011"
275,The Sandman #70: Chapter One: Which occurs in the wake of what has gone before,https://www.goodreads.com/book/show/19618385-the-sandman-70,"Published July 31, 1995",Comics,4.50,160 ratings,"26 pages, Kindle Edition
Published July 31, 1995"
276,The Sandman #69: The Kindly Ones part 13 of 13,https://www.goodreads.com/book/show/20190738-the-sandman-69,"First published July 1, 1995",Comics,4.41,160 ratings,"25 pages, Kindle Edition
First published July 1, 1995"
277,"The Neil Gaiman Library, Volume 3",https://www.goodreads.com/book/show/55404458-the-neil-gaiman-library-volume-3,"Published June 1, 2021",Fantasy,4.07,173 ratings,"344 pages, Hardcover
Published June 1, 2021"
278,Day of the Dead: A Babylon 5 Scriptbook,https://www.goodreads.com/book/show/594626.Day_of_the_Dead,"First published December 1, 1998",Science Fiction,3.92,179 ratings,"56 pages, Paperback
First published December 1, 1998"
279,Blood Bank,https://www.goodreads.com/book/show/61150434-blood-bank,"First published May 13, 2022",Horror,3.93,178 ratings,"160 pages, Kindle Edition
First published May 13, 2022"
280,The Sandman #57: The Kindly Ones part 1 of 13,https://www.goodreads.com/book/show/20129233-the-sandman-57,"First published March 1, 1994",Comics,4.18,167 ratings,"26 pages, Kindle Edition
First published March 1, 1994"
281,The Sandman #72: Chapter Three: In Which We Wake,https://www.goodreads.com/book/show/19567180-the-sandman-72,"Published October 31, 1995",Comics,4.53,154 ratings,"27 pages, Kindle Edition
Published October 31, 1995"
282,The Sandman #74: Exiles,https://www.goodreads.com/book/show/19841691-the-sandman-74,"Published December 31, 1995",Comics,4.14,167 ratings,"25 pages, Kindle Edition
Published December 31, 1995"
283,The Sandman #71: Chapter Two: In Which a Wake is Held,https://www.goodreads.com/book/show/19801972-the-sandman-71,"Published August 31, 1995",Comics,4.42,155 ratings,"26 pages, Kindle Edition
Published August 31, 1995"
284,Invocaciones,https://www.goodreads.com/book/show/59552729-invocaciones,"Published November 3, 2021",Horror,4.01,171 ratings,"96 pages, Hardcover
Published November 3, 2021"
